id,gbif_id,site_id,species,accepted_scientific_name,kingdom,phylum,class,order_name,family,genus,latitude,longitude,event_date,year,month,basis_of_record,dataset_key
37,GBIF-DEMO-000037,4,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,15.9535142,73.9933213,2024-09-27,2024,9,HumanObservation,DEMO-DATASET
38,GBIF-DEMO-000038,4,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,15.9554326,74.0012534,2024-10-21,2024,10,HumanObservation,DEMO-DATASET
39,GBIF-DEMO-000039,4,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,15.9561188,74.0065358,2025-12-05,2025,12,HumanObservation,DEMO-DATASET
40,GBIF-DEMO-000040,4,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,15.9627032,73.9910515,2024-08-26,2024,8,HumanObservation,DEMO-DATASET
41,GBIF-DEMO-000041,4,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,15.9582798,74.008478,2025-07-27,2025,7,HumanObservation,DEMO-DATASET
42,GBIF-DEMO-000042,4,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,15.9526167,74.0036084,2023-11-16,2023,11,HumanObservation,DEMO-DATASET
43,GBIF-DEMO-000043,4,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,15.9524245,74.0048692,2023-11-07,2023,11,HumanObservation,DEMO-DATASET
44,GBIF-DEMO-000044,4,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,15.9594521,73.9901095,2024-07-22,2024,7,HumanObservation,DEMO-DATASET
45,GBIF-DEMO-000045,4,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,15.9572915,74.0075753,2025-05-23,2025,5,HumanObservation,DEMO-DATASET
46,GBIF-DEMO-000046,4,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,15.9563255,73.9932118,2024-06-21,2024,6,HumanObservation,DEMO-DATASET
47,GBIF-DEMO-000047,4,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,15.9599454,74.0007298,2023-12-03,2023,12,HumanObservation,DEMO-DATASET
48,GBIF-DEMO-000048,4,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,15.9656903,73.9937522,2025-12-17,2025,12,HumanObservation,DEMO-DATASET
49,GBIF-DEMO-000049,5,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,15.6360504,74.0974893,2023-02-11,2023,2,HumanObservation,DEMO-DATASET
50,GBIF-DEMO-000050,5,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,15.6297082,74.1012879,2025-08-27,2025,8,HumanObservation,DEMO-DATASET
51,GBIF-DEMO-000051,5,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,15.6317154,74.0984996,2025-05-04,2025,5,HumanObservation,DEMO-DATASET
52,GBIF-DEMO-000052,5,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,15.6238944,74.105895,2024-03-23,2024,3,HumanObservation,DEMO-DATASET
53,GBIF-DEMO-000053,5,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,15.6265504,74.0960759,2025-11-02,2025,11,HumanObservation,DEMO-DATASET
54,GBIF-DEMO-000054,5,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,15.6303273,74.0992735,2023-06-19,2023,6,HumanObservation,DEMO-DATASET
55,GBIF-DEMO-000055,5,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,15.6246143,74.1033666,2023-05-22,2023,5,HumanObservation,DEMO-DATASET
56,GBIF-DEMO-000056,5,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,15.6226415,74.0992345,2024-12-15,2024,12,HumanObservation,DEMO-DATASET
57,GBIF-DEMO-000057,5,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,15.6254292,74.0927925,2024-03-14,2024,3,HumanObservation,DEMO-DATASET
58,GBIF-DEMO-000058,5,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,15.623549,74.1089464,2024-03-11,2024,3,HumanObservation,DEMO-DATASET
59,GBIF-DEMO-000059,5,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,15.6349435,74.1094883,2023-01-16,2023,1,HumanObservation,DEMO-DATASET
60,GBIF-DEMO-000060,5,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,15.6359425,74.1026847,2024-05-12,2024,5,HumanObservation,DEMO-DATASET
61,GBIF-DEMO-000061,6,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,15.2488972,74.610718,2023-07-10,2023,7,HumanObservation,DEMO-DATASET
62,GBIF-DEMO-000062,6,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,15.2573393,74.610808,2025-03-20,2025,3,HumanObservation,DEMO-DATASET
63,GBIF-DEMO-000063,6,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,15.2468282,74.6280598,2024-01-09,2024,1,HumanObservation,DEMO-DATASET
64,GBIF-DEMO-000064,6,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,15.2553996,74.6123501,2025-04-02,2025,4,HumanObservation,DEMO-DATASET
65,GBIF-DEMO-000065,6,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,15.2553553,74.6131152,2025-07-02,2025,7,HumanObservation,DEMO-DATASET
66,GBIF-DEMO-000066,6,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,15.2510792,74.6179447,2025-10-13,2025,10,HumanObservation,DEMO-DATASET
67,GBIF-DEMO-000067,6,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,15.2430099,74.629375,2023-04-22,2023,4,HumanObservation,DEMO-DATASET
68,GBIF-DEMO-000068,6,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,15.2465768,74.6292875,2023-03-03,2023,3,HumanObservation,DEMO-DATASET
69,GBIF-DEMO-000069,6,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,15.2558768,74.6241569,2024-10-04,2024,10,HumanObservation,DEMO-DATASET
70,GBIF-DEMO-000070,6,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,15.2554745,74.6288676,2025-08-04,2025,8,HumanObservation,DEMO-DATASET
71,GBIF-DEMO-000071,6,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,15.2547326,74.6209135,2024-07-27,2024,7,HumanObservation,DEMO-DATASET
72,GBIF-DEMO-000072,6,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,15.2575489,74.6240968,2025-10-14,2025,10,HumanObservation,DEMO-DATASET
73,GBIF-DEMO-000073,7,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,11.6093025,76.0777268,2023-05-06,2023,5,HumanObservation,DEMO-DATASET
74,GBIF-DEMO-000074,7,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,11.6034361,76.0715487,2024-07-22,2024,7,HumanObservation,DEMO-DATASET
75,GBIF-DEMO-000075,7,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,11.6091372,76.0886137,2025-08-03,2025,8,HumanObservation,DEMO-DATASET
76,GBIF-DEMO-000076,7,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,11.6045204,76.0741164,2023-04-27,2023,4,HumanObservation,DEMO-DATASET
77,GBIF-DEMO-000077,7,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,11.6054993,76.0803151,2024-12-24,2024,12,HumanObservation,DEMO-DATASET
78,GBIF-DEMO-000078,7,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,11.6057818,76.0709824,2025-05-05,2025,5,HumanObservation,DEMO-DATASET
79,GBIF-DEMO-000079,7,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,11.6030133,76.0739025,2023-07-10,2023,7,HumanObservation,DEMO-DATASET
80,GBIF-DEMO-000080,7,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,11.6105955,76.0825198,2025-10-06,2025,10,HumanObservation,DEMO-DATASET
81,GBIF-DEMO-000081,7,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,11.6148093,76.0823558,2024-11-17,2024,11,HumanObservation,DEMO-DATASET
82,GBIF-DEMO-000082,7,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,11.6075664,76.0718116,2025-06-07,2025,6,HumanObservation,DEMO-DATASET
83,GBIF-DEMO-000083,7,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,11.6090055,76.0889139,2025-05-09,2025,5,HumanObservation,DEMO-DATASET
84,GBIF-DEMO-000084,7,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,11.6106476,76.0736562,2025-08-09,2025,8,HumanObservation,DEMO-DATASET
85,GBIF-DEMO-000085,8,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,17.6824511,73.9934571,2023-06-22,2023,6,HumanObservation,DEMO-DATASET
86,GBIF-DEMO-000086,8,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,17.6835505,73.9833775,2023-09-26,2023,9,HumanObservation,DEMO-DATASET
87,GBIF-DEMO-000087,8,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,17.6750065,73.9821462,2024-06-15,2024,6,HumanObservation,DEMO-DATASET
88,GBIF-DEMO-000088,8,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,17.6801311,73.9887333,2024-04-27,2024,4,HumanObservation,DEMO-DATASET
89,GBIF-DEMO-000089,8,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,17.6797805,73.9895589,2025-06-27,2025,6,HumanObservation,DEMO-DATASET
90,GBIF-DEMO-000090,8,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,17.6814873,73.9845594,2023-09-18,2023,9,HumanObservation,DEMO-DATASET
91,GBIF-DEMO-000091,8,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,17.6728133,73.9996277,2023-06-14,2023,6,HumanObservation,DEMO-DATASET
92,GBIF-DEMO-000092,8,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,17.679609,73.9812066,2025-10-23,2025,10,HumanObservation,DEMO-DATASET
93,GBIF-DEMO-000093,8,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,17.6823709,73.9956351,2025-06-13,2025,6,HumanObservation,DEMO-DATASET
94,GBIF-DEMO-000094,8,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,17.6856997,73.9926213,2024-04-10,2024,4,HumanObservation,DEMO-DATASET
95,GBIF-DEMO-000095,8,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,17.6826005,73.9934371,2025-12-20,2025,12,HumanObservation,DEMO-DATASET
96,GBIF-DEMO-000096,8,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,17.6788013,73.9962425,2024-05-14,2024,5,HumanObservation,DEMO-DATASET
97,GBIF-DEMO-000097,9,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,17.9237852,73.6591942,2024-03-17,2024,3,HumanObservation,DEMO-DATASET
98,GBIF-DEMO-000098,9,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,17.9140985,73.6539717,2025-05-17,2025,5,HumanObservation,DEMO-DATASET
99,GBIF-DEMO-000099,9,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,17.9239563,73.6678938,2025-04-16,2025,4,HumanObservation,DEMO-DATASET
100,GBIF-DEMO-000100,9,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,17.9272967,73.6530885,2023-04-06,2023,4,HumanObservation,DEMO-DATASET
101,GBIF-DEMO-000101,9,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,17.9166613,73.6605878,2023-11-20,2023,11,HumanObservation,DEMO-DATASET
102,GBIF-DEMO-000102,9,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,17.9233305,73.6535036,2025-10-10,2025,10,HumanObservation,DEMO-DATASET
103,GBIF-DEMO-000103,9,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,17.9196545,73.6529485,2024-04-07,2024,4,HumanObservation,DEMO-DATASET
104,GBIF-DEMO-000104,9,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,17.9140364,73.6610048,2023-10-20,2023,10,HumanObservation,DEMO-DATASET
105,GBIF-DEMO-000105,9,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,17.9131189,73.6596225,2023-10-16,2023,10,HumanObservation,DEMO-DATASET
106,GBIF-DEMO-000106,9,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,17.9250412,73.6589648,2025-06-23,2025,6,HumanObservation,DEMO-DATASET
107,GBIF-DEMO-000107,9,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,17.915852,73.6572162,2023-03-07,2023,3,HumanObservation,DEMO-DATASET
108,GBIF-DEMO-000108,9,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,17.918273,73.6548185,2024-11-21,2024,11,HumanObservation,DEMO-DATASET
109,GBIF-DEMO-000109,10,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,19.9970215,73.7754561,2024-02-01,2024,2,HumanObservation,DEMO-DATASET
110,GBIF-DEMO-000110,10,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,19.9968474,73.7773855,2024-11-07,2024,11,HumanObservation,DEMO-DATASET
111,GBIF-DEMO-000111,10,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,20.0042105,73.7886001,2024-06-17,2024,6,HumanObservation,DEMO-DATASET
112,GBIF-DEMO-000112,10,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,20.0058748,73.7899766,2024-06-17,2024,6,HumanObservation,DEMO-DATASET
113,GBIF-DEMO-000113,10,Hylarana temporalis,Hylarana temporalis,Animalia,Chordata,Amphibia,Anura,Ranidae,Hylarana,20.0062365,73.7881722,2024-10-10,2024,10,HumanObservation,DEMO-DATASET
114,GBIF-DEMO-000114,10,Ahaetulla nasuta,Ahaetulla nasuta,Animalia,Chordata,Reptilia,Squamata,Colubridae,Ahaetulla,19.9932985,73.7703161,2024-07-13,2024,7,HumanObservation,DEMO-DATASET
115,GBIF-DEMO-000115,10,Ficedula parva,Ficedula parva,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,19.999909,73.7781472,2024-07-21,2024,7,HumanObservation,DEMO-DATASET
116,GBIF-DEMO-000116,10,Spilornis cheela,Spilornis cheela,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spilornis,20.0053858,73.7721731,2024-09-07,2024,9,HumanObservation,DEMO-DATASET
117,GBIF-DEMO-000117,10,Macaca radiata,Macaca radiata,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,20.0046881,73.7869567,2025-12-19,2025,12,HumanObservation,DEMO-DATASET
118,GBIF-DEMO-000118,10,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,20.0062384,73.776287,2025-02-11,2025,2,HumanObservation,DEMO-DATASET
119,GBIF-DEMO-000119,10,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,19.9962894,73.782126,2024-12-12,2024,12,HumanObservation,DEMO-DATASET
120,GBIF-DEMO-000120,10,Dalbergia latifolia,Dalbergia latifolia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Dalbergia,20.000912,73.775926,2024-03-05,2024,3,HumanObservation,DEMO-DATASET
121,GBIF-DEMO-000121,11,Prionailurus bengalensis,Prionailurus bengalensis,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,18.145123,73.8411589,2024-12-21,2024,12,HumanObservation,DEMO-DATASET
122,GBIF-DEMO-000122,11,Garcinia indica,Garcinia indica,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Clusiaceae,Garcinia,18.1553459,73.8536266,2024-09-06,2024,9,HumanObservation,DEMO-DATASET
